,InvoiceNo,CustomerID,CountryType,Quantity,InvoiceDate,Month,Day,Weekday,Hour,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,sum,Delivery_Charges,Extra_Charges,Other Purchases,PricePerQuantity
27,536396,17850,1,78,2010-12-01 10:51:00,12,1,2,10,71.5,15.3,20.34,86.06,120.70000000000003,0.0,313.9000000000001,0,0,0,4.024358974358975
28,536397,17924,1,60,2010-12-01 10:51:00,12,1,2,10,279.0,0.0,0.0,0.0,0.0,0.0,279.0,0,0,0,4.65
29,536398,13448,1,150,2010-12-01 10:52:00,12,1,2,10,19.8,27.0,45.06,334.7000000000001,0.0,0.0,426.5600000000001,0,0,0,2.843733333333334
30,536399,17850,1,6,2010-12-01 10:52:00,12,1,2,10,0.0,0.0,0.0,11.1,0.0,0.0,11.1,0,0,0,1.8499999999999999
31,536400,13448,1,12,2010-12-01 10:53:00,12,1,2,10,17.4,0.0,0.0,0.0,0.0,0.0,17.4,0,0,0,1.45
32,536401,15862,1,124,2010-12-01 11:21:00,12,1,2,11,50.400000000000006,86.75000000000001,43.75,91.60000000000001,81.72999999999999,0.0,354.2299999999999,0,0,0,2.856693548387096
33,536402,15513,1,116,2010-12-01 11:22:00,12,1,2,11,0.0,0.0,0.0,153.0,204.0,0.0,357.0,0,0,0,3.0775862068965516
34,536403,12791,0,96,2010-12-01 11:27:00,12,1,2,11,0.0,0.0,0.0,177.60000000000005,0.0,0.0,177.60000000000005,15,0,15,1.8500000000000005
35,536404,16218,1,438,2010-12-01 11:29:00,12,1,2,11,90.0,80.1,132.6,138.00000000000003,30.599999999999998,0.0,471.29999999999995,0,0,0,1.0760273972602739
36,536405,14045,1,128,2010-12-01 11:32:00,12,1,2,11,0.0,0.0,326.4,0.0,0.0,0.0,326.4,0,0,0,2.55
37,536406,17850,1,78,2010-12-01 11:33:00,12,1,2,11,71.5,20.4,20.34,95.96000000000001,97.78000000000002,0.0,305.98,0,0,0,3.922820512820513
38,536407,17850,1,6,2010-12-01 11:34:00,12,1,2,11,0.0,0.0,0.0,11.1,0.0,0.0,11.1,0,0,0,1.8499999999999999
39,536408,14307,1,558,2010-12-01 11:41:00,12,1,2,11,55.5,180.50000000000003,232.50000000000003,181.96,132.65,0.0,783.1099999999999,0,0,0,1.4034229390681001
40,536409,17908,1,169,2010-12-01 11:45:00,12,1,2,11,21.849999999999998,62.000000000000014,21.529999999999998,43.900000000000006,82.75,0.0,232.02999999999992,0,0,0,1.3729585798816564
41,536412,17920,1,197,2010-12-01 11:49:00,12,1,2,11,162.79999999999998,139.4,38.61,41.25,61.49999999999999,9.9,453.4599999999998,0,0,0,2.301827411167512
42,536415,12838,1,228,2010-12-01 11:57:00,12,1,2,11,150.6,67.3,36.99999999999999,89.55000000000003,46.34,0.0,390.7899999999999,0,0,0,1.713991228070175
43,536416,13255,1,110,2010-12-01 11:58:00,12,1,2,11,90.0,15.0,0.0,0.0,120.7,0.0,225.70000000000002,0,0,0,2.0518181818181818
44,536420,16583,1,111,2010-12-01 12:03:00,12,1,2,12,47.4,17.700000000000006,72.8,62.85000000000001,32.7,0.0,233.45000000000005,0,0,0,2.1031531531531535
45,536423,18085,1,78,2010-12-01 12:08:00,12,1,2,12,15.0,0.0,30.0,258.90000000000003,0.0,0.0,303.90000000000003,0,0,0,3.8961538461538465
46,536425,13758,1,137,2010-12-01 12:08:00,12,1,2,12,52.35,32.4,80.5,177.3,19.9,0.0,362.45000000000005,0,0,0,2.6456204379562047
47,536437,13694,1,1004,2010-12-01 12:12:00,12,1,2,12,60.0,0.0,478.04,304.08000000000004,0.0,0.0,842.12,0,0,0,0.8387649402390438
48,536446,15983,1,323,2010-12-01 12:15:00,12,1,2,12,77.4,150.59,35.199999999999996,47.80000000000001,120.0,0.0,430.99,0,0,0,1.3343343653250774
49,536460,14849,1,158,2010-12-01 12:22:00,12,1,2,12,0.0,0.0,30.0,222.74,42.8,0.0,295.54,0,0,0,1.8705063291139241
50,536463,14849,1,12,2010-12-01 12:22:00,12,1,2,12,0.0,0.0,0.0,0.0,17.4,0.0,17.4,0,0,0,1.45
51,536464,17968,1,151,2010-12-01 12:23:00,12,1,2,12,51.900000000000006,45.699999999999996,48.66,82.89000000000001,34.300000000000004,1.65,265.09999999999997,0,0,0,1.7556291390728476
52,536466,14849,1,18,2010-12-01 12:23:00,12,1,2,12,0.0,17.4,25.5,0.0,0.0,0.0,42.9,0,0,0,2.3833333333333333
53,536477,16210,1,1070,2010-12-01 12:27:00,12,1,2,12,291.48,148.30000000000004,81.36,225.60000000000002,1728.0,0.0,2474.7399999999993,0,0,0,2.3128411214953264
54,536488,17897,1,71,2010-12-01 12:31:00,12,1,2,12,26.349999999999998,40.0,49.25,25.45,22.29,0.0,163.33999999999997,0,0,0,2.3005633802816896
55,536500,17377,1,102,2010-12-01 12:35:00,12,1,2,12,0.0,65.0,28.680000000000007,38.17,92.05000000000001,0.0,223.90000000000003,15,0,0,2.1950980392156865
56,536502,16552,1,39,2010-12-01 12:36:00,12,1,2,12,10.2,17.700000000000006,0.0,67.39,0.0,0.0,95.29,0,0,0,2.4433333333333334
57,536508,17181,1,216,2010-12-01 12:38:00,12,1,2,12,0.0,155.52000000000004,0.0,0.0,0.0,0.0,155.52000000000004,0,0,0,0.7200000000000002
58,536514,17951,1,118,2010-12-01 12:40:00,12,1,2,12,68.7,0.0,0.0,226.80000000000007,0.0,0.0,295.5000000000001,0,0,0,2.5042372881355943
59,536520,14729,1,197,2010-12-01 12:43:00,12,1,2,12,34.45,102.42000000000002,46.03,98.09000000000003,32.50000000000001,0.0,313.49,0,0,0,1.5913197969543147
60,536521,12748,1,1,2010-12-01 12:48:00,12,1,2,12,0.0,0.0,0.0,4.95,0.0,0.0,4.95,0,0,0,4.95
61,536522,15012,1,84,2010-12-01 12:49:00,12,1,2,12,38.550000000000004,45.46000000000001,24.35,69.4,10.799999999999997,0.0,188.5599999999999,0,0,0,2.2447619047619036
62,536523,12868,1,112,2010-12-01 12:50:00,12,1,2,12,62.70000000000001,51.3,0.0,47.400000000000006,41.9,0.0,203.3,0,0,0,1.8151785714285715
63,536524,17572,1,24,2010-12-01 12:51:00,12,1,2,12,0.0,0.0,35.40000000000001,35.40000000000001,0.0,0.0,70.80000000000003,0,0,0,2.950000000000001
64,536525,14078,1,29,2010-12-01 12:54:00,12,1,2,12,1.25,12.09,91.95,25.5,5.45,0.0,136.24,0,0,0,4.6979310344827585
65,536526,14001,1,94,2010-12-01 12:58:00,12,1,2,12,0.0,197.0,0.0,30.0,74.24000000000001,0.0,301.24,0,0,0,3.20468085106383
66,536527,12662,0,156,2010-12-01 13:04:00,12,1,2,13,35.10000000000001,64.5,15.0,48.480000000000004,80.4,0.0,243.48000000000002,18,0,18,1.560769230769231
67,536528,15525,1,113,2010-12-01 13:17:00,12,1,2,13,61.3,36.4,33.14,91.94000000000001,52.150000000000006,0.0,274.92999999999995,0,0,0,2.4330088495575217
68,536529,14237,1,38,2010-12-01 13:20:00,12,1,2,13,61.099999999999994,52.40000000000001,0.0,34.75,12.75,0.0,161.00000000000003,0,0,0,4.236842105263158
69,536530,17905,1,71,2010-12-01 13:21:00,12,1,2,13,19.65,67.25000000000001,0.0,94.35000000000001,19.25,0.0,200.49999999999997,0,0,0,2.8239436619718306
70,536531,15485,1,391,2010-12-01 13:23:00,12,1,2,13,21.0,0.0,333.95,30.66,553.98,0.0,939.5900000000001,0,0,0,2.40304347826087
71,536532,12433,0,1852,2010-12-01 13:24:00,12,1,2,13,181.44000000000003,335.21999999999997,759.48,373.0000000000001,270.00000000000006,0.0,1919.1400000000008,0,0,0,1.0362526997840178
72,536533,16955,1,80,2010-12-01 13:31:00,12,1,2,13,50.85,15.9,64.35,0.0,25.0,0.0,156.1,0,0,0,1.95125
73,536534,15350,1,51,2010-12-01 13:33:00,12,1,2,13,0.0,0.0,0.0,115.65000000000003,0.0,0.0,115.65000000000003,0,0,0,2.2676470588235302
74,536535,15605,1,71,2010-12-01 13:38:00,12,1,2,13,14.85,10.2,31.5,52.95,85.35000000000001,0.0,194.85000000000002,0,0,0,2.744366197183099
75,536536,18144,1,95,2010-12-01 13:45:00,12,1,2,13,15.0,0.0,0.0,150.04999999999998,0.0,0.0,165.04999999999998,0,0,0,1.7373684210526315
76,536537,15922,1,138,2010-12-01 13:51:00,12,1,2,13,120.60000000000002,154.40000000000003,0.0,25.5,69.0,0.0,369.50000000000006,0,0,0,2.6775362318840585
77,536538,14594,1,146,2010-12-01 13:54:00,12,1,2,13,40.5,73.45,50.300000000000004,36.5,54.25,0.0,254.99999999999997,0,0,4,1.7465753424657533
78,536539,15165,1,160,2010-12-01 14:03:00,12,1,2,14,76.9,45.2,71.4,244.55000000000004,49.7,0.0,487.75,0,0,0,3.0484375
79,536540,14911,0,230,2010-12-01 14:05:00,12,1,2,14,275.98,133.70000000000002,0.0,17.700000000000006,63.0,0.0,490.37999999999994,50,0,0,2.132086956521739
80,536541,14911,0,12,2010-12-01 14:05:00,12,1,2,14,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0,0,0,1.25
81,536542,16456,1,392,2010-12-01 14:11:00,12,1,2,14,0.0,770.9,0.0,16.5,0.0,0.0,787.4,0,0,0,2.0086734693877553
82,536544,100527,1,1207,2010-12-01 14:32:00,12,1,2,14,762.4500000000003,905.2100000000005,874.1600000000002,1571.3999999999994,797.5900000000001,40.56,4951.370000000007,569,0,8,4.102212096106054
83,536551,17346,1,84,2010-12-01 14:34:00,12,1,2,14,15.599999999999998,34.64,18.430000000000007,55.5,9.940000000000001,0.0,134.10999999999999,0,0,1,1.5965476190476189
84,536555,100537,1,2,2010-12-01 14:37:00,12,1,2,14,2.55,0.0,0.0,0.0,0.42,0.0,2.9699999999999998,0,0,0,1.4849999999999999
85,536556,17643,1,71,2010-12-01 14:38:00,12,1,2,14,46.2,12.6,10.95,31.8,0.0,0.0,101.55,0,0,0,1.430281690140845
86,536557,17841,1,198,2010-12-01 14:41:00,12,1,2,14,141.77999999999997,69.65,17.1,229.2,74.7,0.0,532.43,0,0,1,2.6890404040404037
87,536558,100538,1,5,2010-12-01 14:48:00,12,1,2,14,0.0,0.0,99.75,0.0,0.0,0.0,99.75,0,0,0,19.95
88,536559,17873,1,117,2010-12-01 14:54:00,12,1,2,14,51.0,0.0,107.0,0.0,46.95,0.0,204.95,0,0,0,1.7517094017094017
89,536560,13093,1,246,2010-12-01 15:00:00,12,1,2,15,204.0,0.0,345.0,141.39999999999998,31.5,0.0,721.9,0,0,0,2.9345528455284553
90,536561,12921,1,140,2010-12-01 15:06:00,12,1,2,15,68.8,32.7,37.50000000000001,124.20000000000005,59.2,0.0,322.40000000000003,0,0,0,2.302857142857143
91,536562,13468,1,99,2010-12-01 15:08:00,12,1,2,15,50.60000000000001,31.5,33.60000000000001,138.8,54.150000000000006,0.0,308.6500000000001,17,0,0,3.1176767676767687
92,536563,17760,1,165,2010-12-01 15:08:00,12,1,2,15,46.5,57.04,30.6,8.4,30.0,0.0,172.54,0,0,30,1.0456969696969696
93,536564,13468,1,12,2010-12-01 15:08:00,12,1,2,15,0.0,51.4,0.0,0.0,0.0,0.0,51.4,0,0,0,4.283333333333333
94,536565,100540,1,2,2010-12-01 15:15:00,12,1,2,15,0.0,0.0,6.7,0.0,0.0,0.0,6.7,0,0,0,3.35
95,536566,16928,1,93,2010-12-01 15:21:00,12,1,2,15,0.0,0.0,0.0,116.25,0.0,0.0,116.25,0,0,0,1.25
96,536567,16048,1,132,2010-12-01 15:27:00,12,1,2,15,0.0,0.0,0.0,251.40000000000006,0.0,0.0,251.40000000000006,0,0,0,1.904545454545455
97,536568,16048,1,12,2010-12-01 15:28:00,12,1,2,15,0.0,0.0,0.0,5.04,0.0,0.0,5.04,0,0,0,0.42
98,536569,16274,1,151,2010-12-01 15:35:00,12,1,2,15,93.08000000000001,100.75,15.029999999999998,40.9,81.79,0.0,331.5499999999999,18,0,0,2.19569536423841
99,536570,14496,1,86,2010-12-01 15:35:00,12,1,2,15,15.0,0.0,35.40000000000001,253.94,0.0,0.0,304.34000000000003,0,0,0,3.538837209302326
100,536571,14696,1,284,2010-12-01 15:37:00,12,1,2,15,129.66,114.66,11.9,38.4,0.0,0.0,294.61999999999995,0,0,17,1.037394366197183
101,536572,16539,1,301,2010-12-01 15:40:00,12,1,2,15,188.70000000000002,15.0,49.8,29.099999999999998,159.75,0.0,442.35,0,0,0,1.4696013289036545
102,536573,17025,1,136,2010-12-01 15:45:00,12,1,2,15,0.0,143.12,0.0,0.0,0.0,0.0,143.12,0,0,0,1.0523529411764707
103,536574,17025,1,3,2010-12-01 15:46:00,12,1,2,15,0.0,0.0,0.0,0.0,17.85,0.0,17.85,0,0,0,5.95
104,536575,13777,1,730,2010-12-01 16:01:00,12,1,2,16,315.0,115.5,90.0,485.28,220.8,0.0,1226.58,0,0,0,1.6802465753424656
105,536576,13777,1,994,2010-12-01 16:11:00,12,1,2,16,868.64,136.5,697.6800000000001,135.0,394.2000000000001,0.0,2232.02,0,0,0,2.245492957746479
106,536577,13777,1,388,2010-12-01 16:13:00,12,1,2,16,0.0,137.0,0.0,360.0,0.0,0.0,497.0,0,0,0,1.2809278350515463
107,536578,17690,1,104,2010-12-01 16:15:00,12,1,2,16,0.0,0.0,45.0,234.60000000000002,0.0,0.0,279.6,0,0,0,2.6884615384615387
108,536579,13777,1,276,2010-12-01 16:16:00,12,1,2,16,0.0,87.0,0.0,228.96,0.0,0.0,315.96000000000004,0,0,0,1.1447826086956523
109,536580,17690,1,66,2010-12-01 16:17:00,12,1,2,16,0.0,0.0,42.6,54.599999999999994,0.0,0.0,97.2,0,0,0,1.4727272727272727
110,536581,13777,1,200,2010-12-01 16:19:00,12,1,2,16,0.0,330.0,0.0,0.0,0.0,0.0,330.0,0,0,0,1.65
111,536582,12947,1,184,2010-12-01 16:21:00,12,1,2,16,0.0,0.0,63.300000000000004,220.58,20.16,0.0,304.04,0,0,0,1.6523913043478262
112,536583,13777,1,120,2010-12-01 16:21:00,12,1,2,16,0.0,0.0,198.0,0.0,0.0,0.0,198.0,0,0,0,1.65
113,536584,13777,1,384,2010-12-01 16:22:00,12,1,2,16,0.0,0.0,1132.8000000000004,0.0,0.0,0.0,1132.8000000000004,0,0,0,2.950000000000001
114,536585,17460,1,2,2010-12-01 16:24:00,12,1,2,16,0.0,19.9,0.0,0.0,0.0,0.0,19.9,0,0,0,9.95
115,536586,18229,1,44,2010-12-01 16:25:00,12,1,2,16,0.0,0.0,105.0,239.2,0.0,0.0,344.2,0,0,0,7.822727272727272
116,536587,14142,1,313,2010-12-01 16:33:00,12,1,2,16,47.760000000000005,13.54,20.22,174.73000000000002,55.56000000000001,0.0,311.81000000000006,0,0,0,0.9961980830670928
117,536588,17069,1,103,2010-12-01 16:49:00,12,1,2,16,43.350000000000016,37.8,25.5,170.4,0.0,0.0,277.05,0,0,0,2.6898058252427184
118,536590,13065,1,74,2010-12-01 16:52:00,12,1,2,16,51.28999999999999,43.45,17.700000000000006,40.599999999999994,52.82,0.0,205.86,0,0,0,2.7818918918918922
119,536591,14606,1,93,2010-12-01 16:58:00,12,1,2,16,39.239999999999995,31.5,25.13,43.4,55.3,3.75,198.32,1,0,1,2.1324731182795698
120,536592,101133,1,1477,2010-12-01 17:06:00,12,1,2,17,1089.5299999999995,1221.2500000000002,796.8800000000001,2102.15,1081.5499999999997,16.8,6308.160000000008,612,0,0,4.270927555856471
121,536593,16835,1,19,2010-12-01 17:15:00,12,1,2,17,0.0,22.5,15.9,27.45,15.9,0.0,81.75,0,0,0,4.302631578947368
122,536594,15235,1,34,2010-12-01 17:22:00,12,1,2,17,0.0,64.50000000000001,0.0,15.0,0.0,0.0,79.50000000000001,0,0,0,2.3382352941176476
123,536595,13576,1,108,2010-12-01 17:24:00,12,1,2,17,7.5,12.75,0.0,9.5,319.40000000000003,0.0,349.15000000000003,0,0,0,3.2328703703703705
124,536596,101139,1,9,2010-12-01 17:29:00,12,1,2,17,0.0,0.0,20.24,9.9,7.95,0.0,38.09,0,0,0,4.232222222222223
125,536597,18011,1,71,2010-12-01 17:35:00,12,1,2,17,31.349999999999998,11.06,10.05,34.78,15.55,0.0,102.79,0,0,2,1.4477464788732395
126,536598,13090,1,76,2010-12-02 07:48:00,12,2,3,7,0.0,43.6,0.0,117.0,0.0,0.0,160.6,0,0,0,2.113157894736842
127,536599,15694,1,80,2010-12-02 07:49:00,12,2,3,7,139.6,30.6,60.0,76.19999999999997,0.0,0.0,306.4,0,0,0,3.8299999999999996
128,536600,17850,1,46,2010-12-02 08:32:00,12,2,3,8,71.5,25.200000000000003,20.34,69.34,32.94,0.0,219.32000000000002,0,0,0,4.767826086956522
129,536601,17850,1,6,2010-12-02 08:33:00,12,2,3,8,0.0,0.0,0.0,11.1,0.0,0.0,11.1,0,0,0,1.8499999999999999
130,536602,17850,1,54,2010-12-02 08:34:00,12,2,3,8,0.0,25.200000000000003,20.34,68.16,26.7,0.0,140.4,0,0,0,2.6
131,536603,17850,1,6,2010-12-02 08:40:00,12,2,3,8,0.0,0.0,0.0,11.1,0.0,0.0,11.1,0,0,0,1.8499999999999999
132,536604,14741,1,114,2010-12-02 08:43:00,12,2,3,8,10.2,65.39999999999999,17.700000000000006,65.10000000000002,26.1,0.0,184.5,0,0,10,1.618421052631579
133,536605,13715,1,107,2010-12-02 08:52:00,12,2,3,8,0.0,94.50000000000001,120.69999999999999,14.85,42.60000000000001,0.0,272.65000000000003,0,0,0,2.5481308411214956
134,536607,17732,1,93,2010-12-02 09:29:00,12,2,3,9,0.0,128.9,43.80000000000001,95.57000000000001,35.7,0.0,303.97,0,0,0,3.2684946236559145
135,536608,12855,1,30,2010-12-02 09:37:00,12,2,3,9,0.0,20.4,0.0,17.700000000000006,0.0,0.0,38.10000000000001,0,0,0,1.2700000000000002
136,536609,17850,1,70,2010-12-02 09:41:00,12,2,3,9,0.0,25.200000000000003,20.34,95.96000000000001,55.800000000000004,0.0,197.3,0,0,0,2.818571428571429
137,536610,17850,1,6,2010-12-02 09:42:00,12,2,3,9,0.0,0.0,0.0,11.1,0.0,0.0,11.1,0,0,0,1.8499999999999999
138,536611,15752,1,153,2010-12-02 09:43:00,12,2,3,9,40.2,0.0,0.0,165.15000000000006,54.300000000000004,0.0,259.6500000000001,0,0,0,1.6970588235294124
139,536612,17850,1,66,2010-12-02 09:44:00,12,2,3,9,0.0,25.200000000000003,20.34,66.76,55.800000000000004,0.0,168.1,0,0,0,2.546969696969697
140,536613,17855,1,197,2010-12-02 09:44:00,12,2,3,9,65.28,22.68,40.08,36.53,44.400000000000006,0.0,208.97,0,0,0,1.060761421319797
141,536614,17850,1,6,2010-12-02 09:44:00,12,2,3,9,0.0,0.0,0.0,11.1,0.0,0.0,11.1,0,0,0,1.8499999999999999
142,536615,14047,1,108,2010-12-02 10:09:00,12,2,3,10,37.2,0.0,19.9,136.22,93.60000000000001,0.0,286.92,0,0,0,2.6566666666666667
143,536616,17925,1,72,2010-12-02 10:10:00,12,2,3,10,0.0,0.0,0.0,0.0,244.08,0.0,244.08,0,0,0,3.39
144,536617,13941,1,644,2010-12-02 10:17:00,12,2,3,10,300.12,534.0,51.0,30.0,180.0,0.0,1095.1200000000001,51,0,0,1.7004968944099381
145,536618,17017,1,600,2010-12-02 10:17:00,12,2,3,10,252.6,96.0,151.20000000000002,107.51999999999998,172.8,0.0,780.12,0,0,0,1.3002
146,536619,17017,1,48,2010-12-02 10:18:00,12,2,3,10,0.0,52.2,45.0,0.0,0.0,0.0,97.2,0,0,0,2.025
147,536620,14135,1,741,2010-12-02 10:27:00,12,2,3,10,44.85,17.4,86.39999999999999,222.0,114.60000000000002,0.0,485.25000000000006,0,0,0,0.6548582995951417
148,536621,13108,1,298,2010-12-02 10:35:00,12,2,3,10,60.599999999999994,67.1,65.4,102.0,54.959999999999994,0.0,350.05999999999995,0,0,0,1.174697986577181
149,536623,15601,1,666,2010-12-02 10:39:00,12,2,3,10,75.0,120.52,62.10000000000001,372.52000000000004,138.24,0.0,768.3800000000001,0,0,0,1.153723723723724
150,536624,13418,1,228,2010-12-02 10:45:00,12,2,3,10,30.0,108.6,368.94,53.400000000000006,49.699999999999996,0.0,610.64,0,0,0,2.6782456140350877
151,536626,13418,1,6,2010-12-02 10:46:00,12,2,3,10,0.0,0.0,12.6,0.0,0.0,0.0,12.6,0,0,0,2.1
152,536627,15658,1,64,2010-12-02 10:53:00,12,2,3,10,17.0,50.199999999999996,35.40000000000001,161.95000000000002,41.650000000000006,0.0,306.20000000000005,0,0,0,4.784375000000001
153,536628,17850,1,68,2010-12-02 10:54:00,12,2,3,10,0.0,25.200000000000003,20.34,82.06,55.800000000000004,0.0,183.4,0,0,0,2.697058823529412
154,536629,17850,1,6,2010-12-02 10:55:00,12,2,3,10,0.0,0.0,0.0,11.1,0.0,0.0,11.1,0,0,0,1.8499999999999999
155,536630,17850,1,70,2010-12-02 10:56:00,12,2,3,10,0.0,25.200000000000003,20.34,95.96000000000001,55.800000000000004,0.0,197.3,0,0,0,2.818571428571429
156,536631,17850,1,6,2010-12-02 10:58:00,12,2,3,10,0.0,0.0,0.0,11.1,0.0,0.0,11.1,0,0,0,1.8499999999999999
157,536632,14388,1,170,2010-12-02 11:02:00,12,2,3,11,36.9,75.9,49.349999999999994,140.7,9.95,0.0,312.79999999999995,0,0,0,1.8399999999999996
158,536633,14901,1,105,2010-12-02 11:20:00,12,2,3,11,20.4,18.75,63.0,21.7,80.29999999999998,0.0,204.15000000000006,0,0,0,1.9442857142857148
159,536634,18041,1,159,2010-12-02 11:21:00,12,2,3,11,7.5,33.0,70.78,0.0,82.5,0.0,193.78000000000003,0,0,0,1.21874213836478
160,536635,15955,1,246,2010-12-02 11:22:00,12,2,3,11,60.4,17.4,125.88000000000001,227.4,121.50000000000001,19.8,572.38,0,0,0,2.3267479674796747
161,536636,15070,1,36,2010-12-02 11:23:00,12,2,3,11,0.0,0.0,0.0,0.0,106.2,0.0,106.2,0,0,0,2.95
162,536637,18041,1,157,2010-12-02 11:35:00,12,2,3,11,45.370000000000005,52.4,40.98999999999999,17.5,63.39999999999999,0.0,219.66000000000003,0,0,0,1.3991082802547772
163,536638,16244,1,619,2010-12-02 11:41:00,12,2,3,11,254.00000000000003,93.0,269.80000000000007,311.38000000000005,128.45,0.0,1056.6299999999997,0,0,20,1.7069951534733436
164,536639,15111,1,106,2010-12-02 11:45:00,12,2,3,11,0.0,17.4,92.75000000000001,145.65000000000003,17.700000000000006,15.0,288.5,0,0,0,2.7216981132075473
165,536640,101150,1,11,2010-12-02 11:45:00,12,2,3,11,8.45,1.95,3.35,32.1,0.0,0.0,45.849999999999994,0,0,0,4.168181818181818
166,536641,12748,1,1,2010-12-02 11:46:00,12,2,3,11,4.25,0.0,0.0,0.0,0.0,0.0,4.25,0,0,0,4.25
167,536643,14390,1,74,2010-12-02 11:57:00,12,2,3,11,9.35,59.1,0.0,147.3,7.95,0.0,223.70000000000002,0,0,0,3.022972972972973
168,536663,16546,1,156,2010-12-02 12:07:00,12,2,3,12,33.0,0.0,0.0,164.40000000000003,102.0,0.0,299.40000000000003,0,0,0,1.9192307692307695
