text,target
Wonder if the president is working now?,Publix
"When this is just your watermelon, and you still have over 3 &amp; 1/2 pages after.",Publix
Happy 4th of july,Publix
Part time in Grocery,Publix
If my 6 month evaluation was a couple weeks late will my one year be also?,Publix
"You can’t see it in its entirety, but this is the 29 pallet truck we received last night @ 9:00.. I feel bad for grocery",Publix
ice :),Publix
the moon #0153,Publix
CBT Training,Publix
The music at #1466 actually slaps,Publix
KEHE to start delivery Nestle in two weeks,Publix
question about holiday pay/premium pay,Publix
Our district manager stopped by and was very pleased with our wet set. I did the organic half and my coworker did the regular.,Publix
Hit the jackpot checking someone out today,Publix
"Late to the party, but this is from the roof of my last store.... I was up there checking the racks with refrigeration.",Publix
My manager put this together :) happy we got a lot of local veggies!!,Publix
When the store just closed and the race is on for your team to get through all those closer chores before the hour is out.,Publix
Helping out in Cash Office during Grand Opening... was there til 2am. This $5 bill shows how I feel,Publix
Sunset from store #1023,Publix
Just Quit Publix,Publix
Going with the flow. I took this at store #773 almost 10 years ago.,Publix
Sunrise from #0862 about a year ago,Publix
Pet peeve - People who shop before they start their shifts and stick the cart of groceries in my dairy cooler when it's already full of three pallets of deli tea. I'm just gonna take your stuff out so I can do my job.,Publix
Sunrise #1433,Publix
Sunrise from #209 many years ago.,Publix
Wish we did this...,Publix
Sunset #1309,Publix
Overtime,Publix
"my turn, sunset store #0471.",Publix
Got scheduled for 30 min shift.,Publix
Conversations with customers,Publix
Cashier transfer,Publix
I'll see your parking lot sunset and give you a parking lot sunrise....south Florida,Publix
Growing our own food,Publix
"Hey you Bakery closers, what's your secret?",Publix
Anyone ever have this issue. Scheduled more total hours than actually listed?,Publix
Returing a BOGO iteam,Publix
How Long Are You Guys Given To Clean?,Publix
"Spiderman, Far from Publix!",Publix
Bagger Here,Publix
You're a liar!!!,Publix
Deli training??,Publix
Smells like a trend. Here's one pretty sunset from yours truly at store #573,Publix
How does having a management position and being in the armed forces (reserves) work?,Publix
When a customer asks for liverwurst and you just finished cleaning all the slicers.,Publix
Sunset @ #544,Publix
I just switched to produce and my eval is in a few weeks.,Publix
Frustrated.,Publix
These prices are getting ridiculous,Publix
Atlanta marathon,Publix
"Give me your sloppy, sweat soaked money.",Publix
gotta get them donations somehow 😂,Publix
It happens at the checkout #13,Publix
When someone asks if you want to take their closing shift in the deli,Publix
frozen,Publix
Friendly Reminder: Check Your Dates,Publix
How to make a long day go fast?,Publix
Is it possible?,Publix
Contender,Publix
Does anyone know how long it takes to get your results from ROI testing? Its been over a month now. I was told 3 weeks and someone else told me a month?? Also how do you find out who made it to the finalist list?,Publix
Child Beggars,Publix
Grocery.,Publix
Can front service clerks wear shorts?,Publix
Quotes,Publix
Departments where most full timers have set schedules,Publix
Deli clerks never saw it coming.,Publix
Does Publix sell condoms?,Publix
Do you carry out a customer with a couple of bags?,Publix
When the Deli is starting to get way too crowded but then your manager steps up to a slicer.,Publix
Good morning to y'all too.,Publix
Clocked out 3-5 minutes late as a minor,Publix
"How to fix Publix Pro issue? I had Publix Pro working for about 3 months and then it wouldn't let me open it (opens for 3 seconds and then closes). I re downloaded the app and when I try to open it, this message pops up. Not sure what to do.",Publix
When creepy old men go through your line,Publix
Oh boy that's damaged now,Publix
"Yo ho, yo ho, the grocery life for me.",Publix
Store closes at 10. What's the longest time a customer stayed after at your store?,Publix
10 items or less. When you want to tell people I suck at math too...,Publix
Drop Bandit was here.,Publix
Just leave me alone!,Publix
Pretty good day,Publix
Do you think Walmart is becoming an monopoly in the groceries business??,Publix
Anyone work in the corporate office?,Publix
Oh word?,Publix
Health insurance,Publix
When you’re given the blue OEO apron,Publix
Who else feels like screaming into the void today?,Publix
Someone tell the distribution center to stop eating my Tide Pods!,Publix
Inappropriate carry out customers,Publix
Normally I love the stuff I find on 363.... but why,Publix
I just won the the Bubbly sparkling water contest.... then had it stripped away for being an employee. The sweepstakes sign never said pub employees were ineligible. I’m so bummed right now.,Publix
Customer Care Agents?,Publix
Asshole managers? ADA accommodations?,Publix
bakery barcodes,Publix
Cashiers can't wear hats even when they have bagging shifts?,Publix
Interested in moving to a different state,Publix
Matt Town Center,Publix
Counseling statements,Publix
It really do be like that,Publix
I feel like I was happier before Publix now I’m just angrier 😂,Publix
Winn Dixie closing half of their doors 2 hours before closing when we get yelled at for turning off ours at 9:59pm,Publix
"Did you find everything OK today? ""Yeah everything but the winning lottery tickets.""",Publix
Produce Associates,Publix
Health insurance,Publix
When someone with a large order comes through express and they see the express sign and go “Oh you should’ve told me”,Publix
Detailed cleaned one of our registers to find 10 dusters and 3 closed signs shoved behind the computer,Publix
Thought you guys might enjoy some fresh hand stacking from newly opened store #1651,Publix
Seems legit,Publix
Where shopping is a pleasure,Publix
An End To My Publix Career,Publix
New store #1651 that opened its doors this morning after a 9 month remodel. Previously store #11 in the company.,Publix
OK.,Publix
Hours not showing up,Publix
Got a question about a common theme I see when people ask about applying,Publix
Any other associates have playlists for work? This stuff keeps me awake after closing.,Publix
Publix #392,Publix
PSA for anyone in regards to Customers and Publix PRO,Publix
When the subs go off sale..,Publix
Q about sick day denial,Publix
Selling my stock,Publix
Lakeland Ledger April 1963,Publix
Last night I met Todd Jones. Today I met that other icon of Publix.,Publix
"Chips, dips, and sips",Publix
In case anyone needs a planogram for wetwall.,Publix
GreenWise Market #1676,Publix
Wet set/wet wall/leafy section,Publix
new merchandising strategy?,Publix
Publix #1647,Publix
Is this normally how managers talk to their employees? I’m completely disgusted,Publix
I need to know the story behind this. Happened at my friend's store this morning.,Publix
10pallet frozen truck only room for 4 PLZ PRAY FOR US,Publix
Publix #1651,Publix
Publix #1677,Publix
Missed picking a slot and got called to sign a paper. No one explained what happens with this. Is it something I should be concerned about ?,Publix
I had the pleasure of meeting Todd Jones yesterday at our store open house.,Publix
What to tell the manager,Publix
I’m looking at youu,Publix
Whats the max a bagger can get paid. Im close to being there for 1 year and want to see how im doing with pay rn,Publix
How to switch departments,Publix
Where do I go to change my availability?,Publix
Didn’t finish cbts,Publix
Anyway to check inventory on an item At publix?,Publix
Does a DM have to approve store transfers in the came district for FT associates?,Publix
Transfer,Publix
me too,Publix
Promotion!!,Publix
Question about applying,Publix
53 whole BH sandwiches just came through 😑,Publix
Next week Publix 1461 has a deal GUARANTEED to break the bank. 😂😂,Publix
Wouldn't wipe off..,Publix
I love OT money.,Publix
Managers just got word the DM will be there in 15 min...,Publix
Had my first real shift today as a Front Service Clerk,Publix
"so um, idk if this is a thing and i just never knew, but why is this cake sideways? and in the break room? 😂",Publix
SSCC bag declaration,Publix
Cross-Training in Multiple Departments,Publix
What should I do about my last days at Publix?,Publix
"Do you still get benefits being part time at the warehouse ? I know some places offer it, but does Publix offer it?",Publix
It’s my first day cross training in the Meat Dept. tomorrow...,Publix
Last second customers,Publix
💀💀,Publix
My associate shared this with me today,Publix
What’s something you do to help keep you positive before your shift and during?,Publix
Welcome to Terminus,Publix
Corporate messing up nowadays,Publix
It be like that,Publix
@publix .... -_-,Publix
"Where did ""Reprint Receit"" go?",Publix
I guess that’s a pretty good deal then 🤷‍♂️,Publix
Sage advice from the coconut.,Publix
Inspirational Publix posters,Publix
Theft,Publix
In a pretty weird situation,Publix
"Well, I broke a pallet jack; how's your day going?",Publix
Question for Grocery Managers - hierarchy and roles of management,Publix
Do you tip the baggers?,Publix
A well-executed ad wall is a beautiful thing,Publix
Looking to move to gulf coast area,Publix
Theft,Publix
When you have to bring in the store manger for the BS that’s about to happen,Publix
i’m curious...,Publix
Sigh.,Publix
Just why...,Publix
Our local children’s museum has a Publix sponsored play area. There’s even a photo of George Jenkins.,Publix
I cannot understand why people do this to us. Lol.,Publix
This is the funniest thing I’ve seen in a long time 😂😂😂,Publix
Can’t wait to heat up my Hot Po..... bruh,Publix
this one goes out to my deli and CS people,Publix
Weirdest clothing a customer has ever worn?,Publix
"Deli peeps, what gets you through a shift with a smile?",Publix
I'm just gonna make the truth known.,Publix
Took a picture of these really weird storm clouds rolling in before I clocked in today,Publix
Free half pub sub,Publix
Low long until it collapses?,Publix
Breaks,Publix
Disgusting,Publix
When coke dose there buy 2 get 2 sale and Publix runs there $2 off 2 coupon on the 2-liter cokes bringing cost down to $0.20 a 2-liter.,Publix
Who wants to join me?,Publix
"Ok George, I see you",Publix
CMN donations,Publix
What to do about my car in our lot?,Publix
Moving for Publix (NC or VA),Publix
I Goofed,Publix
Associates creating hostility,Publix
Time off,Publix
Scrub night tonight ! Never seen the produce department look so empty,Publix
Customer: Not the million dollars! Me:,Publix
Soooo I had a leaky box of Halos today.....,Publix
Did the Pro App break my phone’s camera???,Publix
Try fitting these on your endcap or in your dump bins.,Publix
